,columns,missing values count
263,Sensor - 264,27
264,Sensor - 265,27
265,Sensor - 266,27
266,Sensor - 267,27
267,Sensor - 268,27
268,Sensor - 269,27
269,Sensor - 270,27
270,Sensor - 271,0
271,Sensor - 272,9
272,Sensor - 273,27
273,Sensor - 274,117
274,Sensor - 275,117
275,Sensor - 276,117
276,Sensor - 277,117
277,Sensor - 278,117
278,Sensor - 279,72
279,Sensor - 280,18
280,Sensor - 281,18
281,Sensor - 282,18
282,Sensor - 283,18
283,Sensor - 284,18
284,Sensor - 285,27
285,Sensor - 286,27
286,Sensor - 287,27
287,Sensor - 288,27
288,Sensor - 289,27
289,Sensor - 290,27
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,6939
293,Sensor - 294,6939
294,Sensor - 295,9
295,Sensor - 296,9
296,Sensor - 297,9
297,Sensor - 298,9
298,Sensor - 299,9
299,Sensor - 300,9
300,Sensor - 301,9
301,Sensor - 302,9
302,Sensor - 303,9
303,Sensor - 304,9
304,Sensor - 305,9
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,126
314,Sensor - 315,126
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,9
327,Sensor - 328,9
328,Sensor - 329,9
329,Sensor - 330,9
330,Sensor - 331,9
331,Sensor - 332,9
332,Sensor - 333,45
333,Sensor - 334,45
334,Sensor - 335,45
335,Sensor - 336,45
336,Sensor - 337,45
337,Sensor - 338,45
338,Sensor - 339,45
339,Sensor - 340,45
340,Sensor - 341,45
341,Sensor - 342,45
342,Sensor - 343,45
343,Sensor - 344,45
344,Sensor - 345,45
345,Sensor - 346,4770
346,Sensor - 347,4770
347,Sensor - 348,45
348,Sensor - 349,216
349,Sensor - 350,216
350,Sensor - 351,216
351,Sensor - 352,216
352,Sensor - 353,216
353,Sensor - 354,216
354,Sensor - 355,216
355,Sensor - 356,216
356,Sensor - 357,9
357,Sensor - 358,18
358,Sensor - 359,5499
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,459
363,Sensor - 364,459
364,Sensor - 365,45
365,Sensor - 366,18
366,Sensor - 367,18
367,Sensor - 368,45
368,Sensor - 369,45
369,Sensor - 370,45
370,Sensor - 371,45
371,Sensor - 372,45
372,Sensor - 373,45
373,Sensor - 374,45
374,Sensor - 375,45
375,Sensor - 376,45
376,Sensor - 377,18
377,Sensor - 378,18
378,Sensor - 379,45
379,Sensor - 380,45
380,Sensor - 381,45
381,Sensor - 382,45
382,Sensor - 383,2592
383,Sensor - 384,2592
384,Sensor - 385,2592
385,Sensor - 386,5013
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,216
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,27
395,Sensor - 396,27
396,Sensor - 397,27
397,Sensor - 398,27
398,Sensor - 399,27
399,Sensor - 400,27
400,Sensor - 401,27
401,Sensor - 402,27
402,Sensor - 403,27
403,Sensor - 404,27
404,Sensor - 405,27
405,Sensor - 406,27
406,Sensor - 407,27
407,Sensor - 408,27
408,Sensor - 409,0
409,Sensor - 410,9
410,Sensor - 411,27
411,Sensor - 412,117
412,Sensor - 413,117
413,Sensor - 414,117
414,Sensor - 415,117
415,Sensor - 416,117
416,Sensor - 417,72
417,Sensor - 418,18
418,Sensor - 419,18
419,Sensor - 420,18
420,Sensor - 421,18
421,Sensor - 422,18
422,Sensor - 423,27
423,Sensor - 424,27
424,Sensor - 425,27
425,Sensor - 426,27
426,Sensor - 427,27
427,Sensor - 428,27
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,9
431,Sensor - 432,9
432,Sensor - 433,9
433,Sensor - 434,9
434,Sensor - 435,9
435,Sensor - 436,9
436,Sensor - 437,9
437,Sensor - 438,9
438,Sensor - 439,9
439,Sensor - 440,9
440,Sensor - 441,9
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,126
450,Sensor - 451,126
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,9
463,Sensor - 464,9
464,Sensor - 465,9
465,Sensor - 466,9
466,Sensor - 467,9
467,Sensor - 468,9
468,Sensor - 469,45
469,Sensor - 470,45
470,Sensor - 471,45
471,Sensor - 472,45
472,Sensor - 473,45
473,Sensor - 474,45
474,Sensor - 475,45
475,Sensor - 476,45
476,Sensor - 477,45
477,Sensor - 478,45
478,Sensor - 479,45
479,Sensor - 480,45
480,Sensor - 481,45
481,Sensor - 482,45
482,Sensor - 483,216
483,Sensor - 484,216
484,Sensor - 485,216
485,Sensor - 486,216
486,Sensor - 487,216
487,Sensor - 488,216
488,Sensor - 489,216
489,Sensor - 490,216
490,Sensor - 491,9
491,Sensor - 492,18
492,Sensor - 493,5499
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,459
497,Sensor - 498,459
498,Sensor - 499,45
499,Sensor - 500,18
500,Sensor - 501,18
501,Sensor - 502,45
502,Sensor - 503,45
503,Sensor - 504,45
504,Sensor - 505,45
505,Sensor - 506,45
506,Sensor - 507,45
507,Sensor - 508,45
508,Sensor - 509,45
509,Sensor - 510,45
510,Sensor - 511,18
511,Sensor - 512,18
512,Sensor - 513,45
513,Sensor - 514,45
514,Sensor - 515,45
515,Sensor - 516,45
516,Sensor - 517,2592
517,Sensor - 518,2592
518,Sensor - 519,2592
519,Sensor - 520,5013
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,216
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,27
529,Sensor - 530,27
530,Sensor - 531,27
531,Sensor - 532,27
532,Sensor - 533,27
533,Sensor - 534,27
534,Sensor - 535,27
535,Sensor - 536,27
536,Sensor - 537,27
537,Sensor - 538,27
538,Sensor - 539,27
539,Sensor - 540,27
540,Sensor - 541,27
541,Sensor - 542,27
542,Sensor - 543,18
543,Sensor - 544,18
544,Sensor - 545,18
545,Sensor - 546,18
546,Sensor - 547,657
547,Sensor - 548,657
548,Sensor - 549,657
549,Sensor - 550,657
550,Sensor - 551,657
551,Sensor - 552,657
552,Sensor - 553,657
553,Sensor - 554,657
554,Sensor - 555,657
555,Sensor - 556,657
556,Sensor - 557,657
557,Sensor - 558,657
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,135
563,Sensor - 564,135
564,Sensor - 565,135
565,Sensor - 566,135
566,Sensor - 567,135
567,Sensor - 568,135
568,Sensor - 569,135
569,Sensor - 570,135
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,4518
579,Sensor - 580,4518
580,Sensor - 581,4518
581,Sensor - 582,4518
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
